marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,41409413,R2MTG1GCZLR2DK,B00428R89M,112201306,yoomall 5M Antenna WIFI RP-SMA Female to Male Extensionl Cable,Electronics,5,0,0,N,Y,Five Stars,As described.,2015-08-31
US,49668221,R2HBOEM8LE9928,B000068O48,734576678,"Hosa GPM-103 3.5mm TRS to 1/4"" TRS Adaptor",Electronics,5,0,0,N,Y,It works as advertising.,It works as advertising.,2015-08-31
US,12338275,R1P4RW1R9FDPEE,B000GGKOG8,614448099,Channel Master Titan 2 Antenna Preamplifier,Electronics,5,1,1,N,Y,Five Stars,Works pissa,2015-08-31
US,38487968,R1EBPM82ENI67M,B000NU4OTA,72265257,LIMTECH Wall charger + USB Hotsync & Charging Dock Cradle desktop Charger for Apple IPOD Shuffle 2nd Generation MP3 Player,Electronics,1,0,0,N,Y,One Star,Did not work at all.,2015-08-31
US,23732619,R372S58V6D11AT,B00JOQIO6S,308169188,Skullcandy Air Raid Portable Bluetooth Speaker,Electronics,5,1,1,N,Y,Overall pleased with the item,Works well. Bass is somewhat lacking but is present. Overall pleased with the item.,2015-08-31
US,21257820,R1A4514XOYI1PD,B008NCD2LG,976385982,Pioneer SP-BS22-LR Andrew Jones Designed Bookshelf Loudspeakers,Electronics,5,1,1,N,Y,Five Stars,The quality on these speakers is insanely good and doesn't sound muddy when adjusting bass. Very happy with these.,2015-08-31
US,3084991,R20D9EHB7N20V6,B00007FGUF,670878953,C2G/Cables to Go 03170 3.5mm F/F Stereo Coupler,Electronics,5,0,0,N,Y,Lifesaver,Wish I could give this product more than five stars. Lifesaver.,2015-08-31
US,8153674,R1WUTD8MVSROJU,B00M9V2RMM,508452933,COOLEAD-HDMI Switcher BOX,Electronics,5,0,0,N,Y,Five Stars,works great,2015-08-31
US,52246189,R1QCYLT25812DM,B00J3O9DYI,766372886,Philips Wireless Portable Speaker,Electronics,4,0,0,N,Y,Four Stars,Great sound and compact. Battery life seems good. Happy with this product.,2015-08-31
US,41463864,R904DQPBCEM7A,B00NS1A0E4,458130381,PlayStation 3 3D Glasses (Super Value 4 Pack),Electronics,4,0,0,N,Y,Four Stars,It works well~~~,2015-08-31
US,2781942,R1DGA6UQIVLKZ7,B007B5V092,152891509,"JVC HAFR201A Xtreme Xplosive Deep Bass Earbuds with Mic and Remote, Blue",Electronics,5,0,0,N,Y,Five Stars,Alll good,2015-08-31
US,707292,RLQT3V8SMNIBH,B00IODHGVG,717335277,Sylvania Alarm Clock Radio with CD Player and USB Charging,Electronics,5,0,0,N,Y,Five Stars,Love clock radio & CD player.  Easy to operate.,2015-08-31
US,31463514,R3T9GZS2TMXZGM,B0035PBHX6,249533961,Coby 8 GB 1.8-Inch Video MP3 Player with FM Radio,Electronics,1,0,0,N,Y,One Star,"Breaks very easily, and takes a while to load music",2015-08-31
US,33475055,R24HVAEYP5PLDN,B00K1JJWFO,635791633,"Diamond (Original) SRH77CA 144/440 MHz. Dual-Band High Gain Handheld Antenna Rx: 120~900 MHz. (Gain: 440 Mhz. 2.15 dBi, Max Power: 10 Watts, Length: 15"") SMA",Electronics,5,0,1,N,Y,Five Stars,Excellent gain in radio frequency reception over the stock antenna that came with the radio.,2015-08-31
US,16543871,R32KMAPNV5NJPJ,B00S3LJ5EA,659360184,Kingvom 8gb 50 Hours Continuous Playback Mp3 Player with Bluetooth Transmitter Hi-fi Music Player White,Electronics,5,0,0,N,Y,Five Stars,everything I expected for a great price,2015-08-31
US,38472651,RC7VLPHUT6UAF,B00B5QNGN6,564421014,JBL Ultra-Portable Speaker with Built-In Bass Port and Wireless Bluetooth Connectivity,Electronics,5,0,0,N,Y,Five Stars,"Love this small speaker with loud volume, great for the beach",2015-08-31
US,26946211,R3G1II8P4KGUAR,B00PLE8QF6,685446417,"YIPBOWPT Surface Pro 4 M3 Charger,15V/1.6A 24W OEM Replacement Power Adapter Supply for Microsoft Windows Surface Pro 4 Core M3 Model 1735 Tablet",Electronics,5,0,0,N,Y,great product,works as advertised.... nothing else to really say about it,2015-08-31
US,10195727,R1UBFCBUALL6S5,B00GHUSIU6,595255086,StarTech.com Mini USB 2.0 Cable,Electronics,5,0,0,N,Y,Five Stars,very good especially for notebooks with micro hdmi and you want to connect it to a computer screen,2015-08-31
US,47386264,R1WI5NISM6GAUG,B0045EJY90,892920832,TEAC CD-P650-B Compact Disc Player with USB and iPod Digital Interface (Black),Electronics,2,4,5,N,Y,It does not copy CD-R s to USB as advertised ...,It does not copy CD-R s to USB as advertised. My CD's were recorded on a Sony machine and properly finalized. They copy on other machines.<br />It repeatedly shows &#34;copy protected wait&#34;.<br />None of my CD-R s are copy protected. I do want a machine that will copy my CD-R collection to USB.,2015-08-31
US,13000908,R27F4OF4BIA4LU,B003BT6BM8,631236454,Philips SHS8100/28 Earhook Headphones,Electronics,2,1,1,N,Y,"Did not last long, Stop working within a year ...","Did not last long,  Stop working within a year.",2015-08-31
US,42944532,R1OD3VMIZCCADZ,B012VIWG28,676077256,Brainwavz Hengja - The Headphone Desk Hanger,Electronics,5,0,0,N,N,"Simple hanger; clamp is strong, with a pad; hanger swivels to accommodate many possible attachment locations","Can't get any simpler that this.  And it works just about anywhere you can find a flat lip or side panel.  Ideally the lip should be at least 1 3/8&#34; for best stability, but I got it to hold decently well on the short lip of my desk top, which is just 3/4&#34;.<br /><br />Because the front hanger piece can be adjusted to hang parallel or perpendicular, (or any angle in between), to the clamping surface, I was able to get the firmest grip on the side of a bookcase.  My best idea, and where I use it now, is attached to the arm of my executive style office chair, near where it meets the chair back.  I don't knock it with my arm or elbow as I raise/lower/turn in my chair.  It is really a nifty place to stow the headphones--within easy reach, but not a cumbersome location either.<br /><br />It is well-constructed with  good layer of powder coating on the metal.  Hardware looks to be top quality, too.<br /><br />*I received a sample product from Brainwavz.",2015-08-31
US,13007636,RBNAN5JL5GFYV,B00FZ1AAUE,27240799,MOUNT FACTORY Articulating Swivel Full Motion TV Wall Mount Bracket for 22-42 inch TV,Electronics,4,0,0,N,Y,Affordable and Functional,"Wish I could tilt it more up & down, but it works fine especially considering the price. Great price, great product. we're going to buy another one for our upstairs TV.",2015-08-31
US,49150897,R2DGBZBL7MUX2H,B00F2FHYM0,304108225,HQRP AC Adapter for Horizon Fitness B600 RC30 RC40 B701 Bike Power Supply Cord [UL Listed] + Euro Plug Adapter,Electronics,4,0,0,N,Y,Four Stars,"Good product, but took a week to receive.",2015-08-31
US,51334385,R183T292B7A19F,B00P936188,856423969,"Anker 60W 6-Port USB Wall Charger, PowerPort 6 for iPhone X/ 8/ 7 / 6s / Plus, iPad Pro / Air 2 / mini/ iPod, Galaxy S7 / S6 / Edge / Plus, Note 5 / 4, LG, Nexus, HTC and More",Electronics,5,0,0,N,Y,Finally I am organized!!!,"Makes a difference right out of the box. I have 4 mini usb's. One apple old<br />and one apple new style. I plugged this in and keep it hidden away with all<br />of my bluetooth speakers, headphones etc. Fantastic way to keep things<br />charged .....QUICKLY.. and out of place and organized. I like it first for making<br />me organize everything in place ..even though the super fast charge is a<br />definite plus. Comes with sticky tape to hold into place ...so it doesn't move<br />around on shelf. Very happy with purchase.",2015-08-31
US,5149738,R3ANQJUUCFYRJH,B0045RU68U,1340028,Seven Star F200 200 Watt 220/240V to 110/120V AC Step Down Travel Converter,Electronics,5,0,0,N,Y,Five Stars,"great product, great service.",2015-08-31
US,15241735,R1DMFKFFMO6DYB,B00ESM3ZHG,964813452,Cable Matters (2-in-1) Mini-HDMI + Micro-HDMI to HDMI,Electronics,4,1,1,N,Y,Great HDMI converter,Great little device if you need to convert micro and mini HDMI to full hdmi and down want to buy new cables.<br />So far mine has been working great.<br />Its small in size so its easy to carry with your computer or tablet.<br />It carries audio like all HDMI cables.,2015-08-31
US,40862185,R3SQRCBAFSXZW6,B007SP2CO2,595936907,Monoprice 108323 Premium Hi-Fi DJ Style Over-the-Ear Pro Headphone Bundle with 3.5mm to 1/4-Inch Gold-Plated Adapter Plug and Accessories (5 Items),Electronics,3,0,0,N,Y,Excellent sound. Good price,"Excellent sound. Good price. Ear pads are less expensive and non-breathable plastic and not very durable and they're somewhat uncomfortable when wearing over 1/2 hour at a sitting.<br /><br />These Sony headphones are comfortable and will last longer, but I think the sound of the monoprice headphones is slightly better. As grandpa said, &#34;You pays your money and you takes your choice.&#34;*  [[ASIN:B000092YPR Sony MDR-V150 Monitor Series Headphones]]<br /><br />1846 Punch, &#34;The Ministerial Crisis&#34;<br />1884 Huckleberry Finn (Mark Twain)<br /><br />*Thanks to the New York Times<br />ON LANGUAGE; You Pays Yer Money<br />By WILLIAM SAFIRE<br />Published: February 28, 1988",2015-08-31
US,2824337,R320LOSTZ3AE3X,B0111ASH0M,386191037,Battery1inc World's Slimmest and Smallest 15W Dual USB Wall Charger Travel Ac Adapter Energy Star Level VI Standards (Patent and UL Certificate Version),Electronics,5,0,0,N,Y,Five Stars,Great Energy Level VI travel charger! Very compact and fast charging. It is the most convenient product I never seen before ! I like it. I am very happy with this seller . Order packed very well and ship fast .Great energy level VI slimmest travel charger . Courteous service !,2015-08-31
US,17848234,R62S4IDIH8O25,B002JR2V7C,104180796,Atlantic 74604729 Movie Sleeves,Electronics,5,0,0,N,Y,Love it!,Great space saving solution for consolidating all your DVDs!,2015-08-31
US,19504814,RZKFO6N2GH92L,B0002QLDLC,960374854,APC RBC35 Replacement Battery Cartridge 35,Electronics,5,0,0,N,Y,... the battery back up and also the battery fit fine.,This is less expensive than replacing the battery back up and also the battery fit fine.,2015-08-31
US,44791277,RZZ0KBVA2N0FY,B00SCCT0FO,158388113,Griffin Griffin Twenty 2.1 Bluetooth Receiver for iPhone and Android - Bluetooth or optical audio streaming to your speakers,Electronics,5,0,0,N,Y,Great Product - Paired with Sonos Connect,"Works great, I wound up pairing this with a Sonos Connect, so I didn't have to but the Connect.Amp.  Puts out enough sound and works amazingly.",2015-08-31
US,44732864,R5AZEDVES1VO8,B00NTUEDMY,164310634,Bose Bluetooth Audio Adapter,Electronics,5,0,0,N,Y,"Bose, simple bluetooth audio adapter","Excellent product, performs as advertised.  Receive, read instructions, connect to your audio system with included cables, sync to your Bluetooth device (iPhone 4S), play music, enjoy!  Thank you, enough said.",2015-08-31
US,7899951,R334WJP6EMRCYV,B00HNKTVB4,453387157,JBL Flip 2 Portable Bluetooth Speaker,Electronics,5,0,0,N,Y,Five Stars,Excelent purchase.  I recomendm it.,2015-08-31
US,14469643,R30XI9KJZ90LBT,B00MCNM934,797514791,Over-the-Ear Headphones with Volume Control,Electronics,5,0,0,N,Y,Cute headphones,Great quality for the price.  I believe they will last the entire school year.  They do not look cheezy at all.,2015-08-31
US,8455257,RKBT2Y4X8X9XT,B00TWVM894,25324900,Status Audio HD One Headphones - Noise isolating. Matte finish. Foldable. 2 cables. Mic.,Electronics,5,2,2,N,Y,Great Value and good to look at!,Good looking over the ear headphones that have a surprising deep bass response. I have noticed new bass notes on some of the songs I have been listening to for years. I use them at work to reduce the surrounding noise. A great value.,2015-08-31
